"","","5%","16.5%","50%","83.5%","95%"
"",,,,,,
"","quantiles.K","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1555.8309125605","1850.90185123845","1932.75873388878","2015.46004461734","2038.03979414706"
"2019-20",,"1575.12445066269","1873.85450316353","1956.7264761245","2040.45334874206","2264.06217637131"
"2020-21",,"1555.05917103642","1827.15194425886","1931.80002419935","2014.46031245236","2235.22061998442"
"2021-22",,"1553.51568798824","1848.14753300744","1929.88260482049","2012.46084812238","2233.00203872389"
"2022-23",,"1558.14613713277","1853.65616946946","1935.63486295707","2021.13419213671","2239.65778250548"
"",,,,,,
"","quantiles.1","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1799.68829446097","1881.94017177261","1922.97886818507","1945.24061374299","1978.16015007969"
"2019-20",,"1577.67163516232","1818.73095733229","1910.815959126","2013.12948757197","2089.97879992655"
"2020-21",,"1597.23601555868","1845.37869342857","1936.30605872306","2038.09389093968","2141.78090531611"
"2021-22",,"1576.88905994646","1816.70205446883","1909.86813374945","2012.13091143726","2114.49707212737"
"2022-23",,"1575.32390951476","1817.52300676816","1908.31783620489","2011.15291442967","2112.39831572824"
"",,,,,,
"","quantiles.2","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1809.73260677875","1865.50756435963","1911.20767552525","1977.34308864432","2014.80118059652"
"2019-20",,"1745.97872179023","1794.70293785202","1862.46645016832","1926.51070864187","1966.2178668607"
"2020-21",,"1567.20332014562","1751.30098060988","1856.78839813026","1968.80531806742","2069.2393080922"
"2021-22",,"1590.95322969898","1776.32816162995","1884.10470205274","1991.99028552627","2104.51496707932"
"2022-23",,"1575.49134461079","1749.67834839814","1857.97411297525","1971.7377861892","2080.37177064202"
"",,,,,,
"","quantiles.3","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1823.84155963959","1879.82624852777","1903.87961581248","1960.91461214046","2009.79768959949"
"2019-20",,"1785.2399067965","1828.70575390603","1895.49051832117","1965.76364604171","2017.92202907057"
"2020-21",,"1708.79130629761","1764.24634247886","1841.10177154169","1921.50229972372","1972.51296705387"
"2021-22",,"1559.51383820476","1722.0579303661","1840.84709408569","1964.49106266318","2071.54820031294"
"2022-23",,"1587.97343459065","1747.50158552463","1866.60334268861","1986.66556838022","2107.69984908694"
"",,,,,,
"","quantiles.4","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1879.25643473233","1893.7802139058","1945.36386046839","1990.60440708732","2025.91080131122"
"2019-20",,"1798.15228332541","1832.33335260529","1897.3956775258","1961.08824580419","2008.87620043102"
"2020-21",,"1754.95049850936","1803.0995319941","1880.15686292516","1967.97149746071","2018.03906135289"
"2021-22",,"1680.74572342219","1741.41800172559","1829.18538606199","1918.61000894893","1975.61245502152"
"2022-23",,"1550.97531212735","1699.58207928925","1824.91590144348","1956.43652814961","2061.10069410535"
"",,,,,,
"","quantiles.5","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1838.53028367713","1884.18577879278","1908.44758336577","2020.91219867768","2050.0249187944"
"2019-20",,"1847.88115873856","1879.05390140008","1953.31176821181","2041.55541680026","2089.78531377887"
"2020-21",,"1771.00324591438","1816.10392747249","1901.64703524596","1995.8967332721","2063.76713219365"
"2021-22",,"1732.32999242517","1790.96494224443","1887.35946224335","1994.74008894484","2067.86581133713"
"2022-23",,"1667.16755832691","1728.36512335321","1833.7074602644","1942.67506633215","2017.69091555078"
"",,,,,,
"","quantiles.6","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1884.04022127134","1958.81706503392","2011.14300461333","2053.58102164556","2072.567951928"
"2019-20",,"1808.68608905373","1850.13916068085","1920.38402714668","2008.38991669611","2065.45007565849"
"2020-21",,"1810.60857812545","1863.6915130412","1946.73801414433","2042.9232665864","2102.74390684164"
"2021-22",,"1737.11815398114","1798.85398036596","1894.61292532108","1999.86512133317","2068.78077949195"
"2022-23",,"1705.99207808952","1775.55928184407","1878.99542118535","1994.06714514383","2077.35537917757"
"",,,,,,
"","quantiles.7","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1764.65136384757","1797.72387271545","1836.91076868388","1854.35832082667","1907.62903334429"
"2019-20",,"1882.38848021134","1928.88220746843","1986.18552578981","2043.26021104509","2073.86276902723"
"2020-21",,"1777.68235650544","1829.14648448538","1907.25998041776","1997.19643588607","2057.4299861537"
"2021-22",,"1783.65599057334","1844.44671160825","1932.98902682363","2033.71262213388","2099.59678468853"
"2022-23",,"1718.1640767719","1781.32409844689","1880.85433103876","1990.51326755126","2067.48457861891"
"",,,,,,
"","quantiles.8","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1598.61384482155","1682.75152145978","1718.53705456958","1774.32083197508","1808.29113775277"
"2019-20",,"1731.56420069556","1784.21018944752","1843.56792187731","1907.12056369524","1929.26444101244"
"2020-21",,"1861.11393738893","1921.27178263914","2001.83770261393","2077.81645865555","2130.17971506218"
"2021-22",,"1763.99909272392","1826.58763157705","1920.07849764204","2024.00735965888","2096.44594173618"
"2022-23",,"1771.06854669629","1840.11116908578","1948.39224615585","2060.0421232839","2132.35283092865"
"",,,,,,
"","quantiles.9","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1706.13581898456","1871.8242405745","2077.41662057673","2203.68075281979","2651.81183241118"
"2019-20",,"1716.57590913816","1889.35451376147","2092.5374262513","2272.43226159216","2564.62529000188"
"2020-21",,"1839.8544329031","2054.71101839794","2246.29123979816","2460.90801857589","2754.94721796755"
"2021-22",,"2001.58153297221","2200.60054905404","2433.53224269547","2659.83308452921","3008.02569137018"
