"","","5%","16.5%","50%","83.5%","95%"
"",,,,,,
"","quantiles.K","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1813.84473910916","1861.39095874385","1932.75873388878","2015.46004461734","2038.03979414706"
"2019-20",,"1836.33785343343","1884.47368392668","1956.7264761245","2040.45334874206","2063.31310508638"
"2020-21",,"1812.94501453618","1849.98374516144","1926.17916911314","2014.46031245236","2037.02886170948"
"2021-22",,"1811.14556539024","1858.62103172191","1929.88260482049","2012.46084812238","2035.00699683434"
"2022-23",,"1816.54391282807","1853.65616946946","1930.00284984587","2018.45924111231","2041.07259145977"
"",,,,,,
"","quantiles.1","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1799.68829446097","1884.7905112108","1920.74077425406","1945.24061374299","1978.16015007969"
"2019-20",,"1786.16263778843","1832.38699196439","1908.87530575494","2002.87086282293","2035.12204554395"
"2020-21",,"1809.99265805632","1853.18187422013","1932.80716974417","2028.61205713971","2060.35917408492"
"2021-22",,"1785.14165210842","1828.64732174675","1906.91129911296","1999.46397444001","2034.34173271422"
"2022-23",,"1788.76493184687","1827.75850700888","1907.51171975248","1999.89040022944","2032.09359011903"
"",,,,,,
"","quantiles.2","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1809.73260677875","1865.50756435963","1910.89443410088","1967.95340726234","2014.80118059652"
"2019-20",,"1746.44846934275","1796.90850693821","1861.02550897525","1923.80080471545","1966.19192787684"
"2020-21",,"1710.35329932738","1768.96235314001","1859.22631437104","1951.90805490319","2013.12487189666"
"2021-22",,"1729.75292435382","1791.86789971301","1885.91156495905","1978.58412871945","2040.00177618514"
"2022-23",,"1703.78694762645","1763.17260433742","1853.05703185493","1952.7074647017","2012.67400018938"
"",,,,,,
"","quantiles.3","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1823.84155963959","1879.82624852777","1903.87961581248","1964.08631814222","2009.79768959949"
"2019-20",,"1781.17683094342","1828.93904990947","1895.20490949226","1966.48446747671","2017.92202907057"
"2020-21",,"1709.06361493248","1764.34234558742","1841.31445956539","1919.54198240153","1972.46635597586"
"2021-22",,"1676.23756251059","1741.00577204624","1841.48792131101","1944.12813836779","2013.42305783897"
"2022-23",,"1697.30826776034","1762.31373032313","1865.1767393893","1973.54828714433","2041.41788770719"
"",,,,,,
"","quantiles.4","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1879.25643473233","1893.7802139058","1945.36386046839","2007.59299269038","2025.91080131122"
"2019-20",,"1797.79927416008","1832.22866339087","1897.25079218774","1963.52549656317","2012.47366001049"
"2020-21",,"1752.85381081932","1804.22816720892","1880.97625166806","1967.00121726501","2025.61338283617"
"2021-22",,"1680.97980668405","1744.36630705593","1826.76848343615","1913.91832795863","1977.25800171925"
"2022-23",,"1647.19766350646","1717.73763157587","1827.74837111025","1936.14698176035","2015.15069938274"
"",,,,,,
"","quantiles.5","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1838.53028367713","1869.41009852185","1908.44758336577","2020.91219867768","2050.0249187944"
"2019-20",,"1847.12683982754","1877.49624553477","1949.92496784408","2038.23804410916","2085.33685975701"
"2020-21",,"1769.97889422952","1817.47671993037","1902.1728071277","1997.8429917657","2065.24821668234"
"2021-22",,"1733.8385981404","1790.89512720913","1884.96230062327","1995.02248297813","2070.00250120061"
"2022-23",,"1661.37168528912","1731.8258561066","1834.77150676183","1942.47087298388","2021.37150542832"
"",,,,,,
"","quantiles.6","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1884.04022127134","1961.05800259026","2011.14300461333","2056.23477573296","2072.567951928"
"2019-20",,"1803.61001054789","1850.13916068085","1921.82845023452","2005.38061884619","2065.45007565849"
"2020-21",,"1809.23773432162","1864.33421272359","1946.37149970845","2036.87095772836","2097.27121320726"
"2021-22",,"1745.58833255256","1800.94284233815","1896.10582450522","2002.36232383582","2072.576806828"
"2022-23",,"1708.62402212635","1773.79251890942","1879.79054988052","1995.72147181042","2078.18698728769"
"",,,,,,
"","quantiles.7","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1764.65136384757","1797.72387271545","1824.58298718715","1854.35832082667","1907.62903334429"
"2019-20",,"1884.7862060036","1933.45807404992","1989.32084926643","2046.80582858925","2076.44994603004"
"2020-21",,"1778.73116822244","1830.26016515846","1907.58262356307","1999.5509850091","2058.63570560534"
"2021-22",,"1785.89533328111","1844.11015950492","1932.66390786903","2029.39212802822","2089.31160250671"
"2022-23",,"1722.77645762875","1781.87023700957","1882.62542249609","1991.81915650545","2067.77117802349"
"",,,,,,
"","quantiles.8","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1598.61384482155","1683.99242133295","1719.68459261731","1774.32083197508","1808.29113775277"
"2019-20",,"1731.53918775349","1783.54758182433","1842.68571346416","1907.277093274","1929.26444101244"
"2020-21",,"1861.1284923662","1924.52783369524","2003.7944625108","2080.32263519783","2135.16479782591"
"2021-22",,"1764.87163394709","1826.26833873842","1921.59253310142","2023.0861568141","2093.34487087629"
"2022-23",,"1775.38804456953","1842.14636615279","1945.94118705226","2054.24934185433","2130.38579594549"
"",,,,,,
"","quantiles.9","5%","16.5%","50%","83.5%","95%"
"2018-19",,"1706.13581898456","1871.8242405745","2083.36010375564","2319.2346941841","2651.81183241118"
"2019-20",,"1728.13656265767","1927.3167368346","2094.94976966189","2285.2347555527","2609.95384487521"
"2020-21",,"1839.77188663305","2040.13427935367","2237.99997351411","2445.76119205207","2789.72393832288"
"2021-22",,"2007.46175149202","2200.67018998206","2438.66215022981","2668.38629788016","3002.46323953521"
